record_type,name,email,phones,company,roles,asset_classes,strategies,markets,notes,sources
email_contact,All Homes,info@nesthomes.ca,(780) 298-1511; (780) 459-3344; (780) 718-1254,nesthomes,Builder,,,Edmonton,"By metro"",""+17802356782"",,""2025-09-24T10:43:02-06:00"",""Jan 05 2026 11:42 AM"",""infill_developer, developer_builders"" ""A0htT2So6uUsHjNeJ0vc"",""Nest"",""Homes ltd"",,""info@nesthomes.ca"",""2025-09-24T10:43:02-",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Anthem Properties,info@smythstolarz.com,(780) 263-7865; (780) 421-7272; (780) 729-5786,smythstolarz,Builder,,,Edmonton,"5-09-24T10:43:57-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders"" ""YXg3BmThVoYVmT8CmL3z"",""Smyth"",""Stolarz construction ltd"",""+17802637865"",""info@smythstolarz.com"",""2025-09-24T10:43",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Anthem United,info@anthemunited.com,(780) 449-1369; (780) 497-2222,anthemunited,Builder; Developer,,,Edmonton,"tures inc"",""+17804813363"",,""2025-09-24T10:17:40-06:00"",""Oct 08 2025 01:30 PM"",""infill_developer, developer_builders"" ""BhIwp2dTcI7777kT0GGh"",""Anthem"",""United"",,""info@anthemunited.com"",""2025-09-24T10:17",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Anthony Developments,info@acecustomhomes.ca,(780) 221-8810; (780) 263-8223; (780) 668-5886; (780) 709-2980,acecustomhomes,Builder,,,Edmonton,"tates.ca"",""2025-09-24T10:43:41-06:00"",""Dec 12 2025 01:45 PM"",""infill_developer, developer_builders"" ""Xfoxut29qgcsXbaT2ruW"",""Ace"",""Custom homes"",""+17802638223"",""info@acecustomhomes.ca"",""2025-09-24T10:4",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | Lake_Ridge_Builder_Emails.xlsx | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Apex Developments,info@apexdevelopments.com,(780) 486-4941; (780) 807-4564; (780) 966-0162,apexdevelopments,Builder,,,Edmonton,"s inc"",""+17804720219"",,""2025-09-24T10:38:36-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""gXBLDp241JE4V64uO4lT"",""Apex"",""Developments"",,""info@apexdevelopments.com"",""2025-09-24T1",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Apex Home,walkerdevelopments@shaw.ca,(780) 298-2100; (780) 504-5589; (780) 680-9171; (780) 920-6357,,Builder,,,Edmonton,"5100"",,""2025-09-24T10:30:58-06:00"",""Oct 08 2025 07:30 AM"",""infill_developer, developer_builders"" ""m4atLH8Tbhk8dtaBY2ZI"",""Walker"",""Developments"",""+17809206357"",""walkerdevelopments@shaw.ca"",""2025-09-24T",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,,asc.designdevelopment@gmail.com,(780) 665-4963; (780) 721-0875; (780) 984-6666,,Builder; Developer,,,Edmonton,"9:31-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""HRLZVfN9wfTai7R5N0gV"",""A.s."",""Construction & design development ltd"",""+17807210875"",""asc.designdevelopment@gmail.com"",""2025-0",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Ascend Builders,info@beljandevelopment.com,(780) 695-0245; (780) 757-1774; (780) 935-6683,beljandevelopment,Builder; Developer,,,Edmonton,"24T10:42:53-06:00"",""Oct 12 2025 08:58 PM"",""infill_developer, developer_builders, land_developers"" ""b8oGWeFn3wDC5DtqaSaw"",""Beljan"",""Development"",""+17807571774"",""info@beljandevelopment.com"",""2025-09-24T",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Asia Builders,info@hibco.ca,(780) 463-7787; (780) 900-7474; (905) 832-4878,hibco,Builder,Commercial,,Edmonton; Toronto,"-24T10:28:37-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders, infill_vip_yeg"" ""YqgkluyB5f9qjV4djLic"",""Hibco"",""Construction"",""+17804637787"",""info@hibco.ca"",""2025-09-24T10:28:35-06:0",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Atlantis Contracting,info.edmonton@brookfieldrp.com,(780) 423-1910; (780) 709-1820,brookfieldrp,Builder,,,Edmonton,"ca"",""2025-09-24T10:37:20-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""U2q40kBvi6KxbmvcT6Cd"",""Brookfield"",""Residential"",""+17804231910"",""info.edmonton@brookfieldrp.com"",""2025-09",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Avanti Homes,_hearthstone@mattamycorp.com,(780) 420-0044; (780) 449-1369; (780) 496-7600,mattamycorp,Builder,,,Edmonton,"West,,780-420-0044,,,https://www.marquis-west.ca/ Item,,info@avantihomes.ca,,Home builder,,,,,,,Avanti Homes,,780.496.7600,,,https://avantihomes.ca/ Item,,sls\_hearthstone@mattamycorp.com,,Home Builde",[Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Avella Homes,info@springfieldhomes.ca,(780) 395-0202; (780) 486-3919; (780) 691-8025,springfieldhomes,Builder,,,Edmonton,"ons.com"",""2025-09-24T10:42:57-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""3L7XMdjwBEiPwzH7HFMq"",""Springfield"",""Homes"",""+17803950202"",""info@springfieldhomes.ca"",""2025-09-24T10",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Avillia Developments,info@empirecommunities.com,(780) 431-8800; (780) 435-1388; (780) 450-4921,empirecommunities,Builder; Developer; Lender,,,Edmonton,"ltd"",""+17804154300"",,""2025-09-24T10:43:47-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""0w7INbKwXNH3k1ZYO6Zc"",""Empire"",""Communities"",,""info@empirecommunities.com"",""2025-09-24T1",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Beljan Development,seanw@timberhaus.ca,(780) 431-8800; (780) 481-6666; (780) 695-0245; (780) 757-1774; (780) 800-0050,timberhaus,Builder; Developer,,,Edmonton,"""Urban"",""Brix"",,""info@urbanbrix.ca"",""2025-09-24T10:43:27-06:00"",,""infill_developer, developer_builders"" ""9tFpPsuUGjB2o89K8onk"",""Timber"",""Hause"",""+17806950245"",""seanw@timberhaus.ca"",""2025-09-24T10:43:2",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Birkholz Homes,info@quadrantconstruction.ca,(780) 429-1255; (780) 430-6918; (780) 472-8362,quadrantconstruction,Builder,,,Edmonton,"ellahomes.com"",""2025-09-24T10:42:45-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""vMyYc1kt2WGwtMsttYX2"",""Quadrant"",""Construction ltd"",,""info@quadrantconstruction.ca"",""2025-09-2",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Blackstone Homes,info@apexyeg.ca,(780) 292-6860; (780) 298-2100; (780) 504-5589,apexyeg,Builder,,,Edmonton,"ction@gmail.com"",""2025-09-24T10:29:51-06:00"",""Jan 06 2026 08:42 AM"",""infill_developer, developer_builders"" ""sSwPhfDNHqNsfs3729qB"",""Apex"",""Home"",""+17805045589"",""info@apexyeg.ca"",""2025-09-24T10:29:47-06",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Brikon Contracting,info@regencydevelopments.ca,(780) 222-5659; (780) 263-8223; (780) 444-4404; (780) 709-2980; (780) 885-2486; (780) 908-8044,regencydevelopments,Builder; Developer,,,Edmonton,"."",""+17809168986"",,""2025-09-24T10:42:37-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""96bva4g293doBxw7YnSw"",""Regency"",""Developments:"",,""info@regencydevelopments.ca"",""2025-09-24",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Brookfield Residential,info@newvibehomesyeg.com,(780) 288-0456; (780) 904-2100; (780) 920-5881,newvibehomesyeg,Builder,,,Edmonton,",,, Item,,,,,,,,,,,FC Developments Custom Home Builder,,780-920-5881,voicemail,, Item,,info@brookfieldresidential.com,,,,,,,,,Brookfield Residential,,,,, Item,,info@newvibehomesyeg.com,,Custom Home Bu",[Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Builder Ltd,service@eqres.ca,(604) 259-1450; (780) 450-9898; (780) 705-5393,eqres,Builder; Developer; Realtor,Infill,,Edmonton; Vancouver,"-09-24T10:42:07-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""PvtvXiXfkdoWovSOtfjz"",""Eqres"",""Property development inc."",""+16042591450"",""service@eqres.ca"",""2025-09-24T10:42:03-0",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Builder Ltd,adeptdevelopments@gmail.com,(780) 245-5476; (780) 429-3816,,Builder,Infill,,Edmonton,"82778"",,""2025-09-24T10:36:59-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""zHF2rtIliXEOTC5BCrAu"",""Adept"",""Developments"",""+17802455476"",""adeptdevelopments@gmail.com"",""2025-09-24",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Builders Group,info@21developments.ca,(780) 257-8818; (780) 456-0066; (780) 903-1292; (780) 934-0663,21developments,Builder; Investor,,,Edmonton,"| 1000000.0 susan yassein | isellbchomes@gmail.com | 1m | 1000000.0 adnan@ahmadventures.ca | 1m | 1000000.0 hi5kittyfeet@gmail.com | 1m | 1000000.0 sukhchain | info@21developments.ca | 1m | $1,000,000",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | Investor-Capital Sheets #2 FB Leads .xlsx | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Building Co,info@exclusivehomesinc.ca,(780) 499-3826; (780) 937-4622,exclusivehomesinc,Builder,,,Edmonton,"5659"",,""2025-09-24T10:42:56-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""vHB0HOC2H8TD8950VcLO"",""Exclusive"",""Homes inc"",""+17809374622"",""info@exclusivehomesinc.ca"",""2025-09-24T1",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Butterwick Construction,info@iconichomes.ca,(780) 434-3559; (780) 437-5513; (780) 439-9000; (780) 457-9277; (780) 702-6877,iconichomes,Builder,,,Edmonton,"://www.triumphhomes.ca/ Item,,,,,,,,,,,Cameron Homes Inc.,,780-437-5513,voicemail,, Item,,,,,,,,,,,Butterwick Construction,,780-434-3559,not purchasing,, Item,,info@iconichomes.ca,,Custom home builder",[Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Cameron Development,info@lwhomes.ca,(780) 483-7452; (780) 695-2556,lwhomes,Builder; Developer,Infill,,Edmonton,"""Builders inc."",""+17804444404"",,""2025-09-24T10:42:51-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""fWFQfuXvUmr9jTlExYzS"",""Lw"",""Homes"",,""info@lwhomes.ca"",""2025-09-24T10:42:50-06",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Cameron Development,reception@cameroncorporation.com,(780) 239-2890; (780) 239-6224; (780) 436-6048,cameroncorporation,Builder; Developer,,,Edmonton,"ers.ca"",""2025-09-24T10:42:41-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""pFfVFyqH6Mcff7wqoQQE"",""Cameron"",""Development corporation:"",,""reception@cameroncorporation.com"",""2025-",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Camgill Development,info@cdlhomes.com,(780) 220-8551; (780) 430-0529; (780) 432-6363; (780) 436-2980; (780) 705-8676,cdlhomes,Builder; Developer,,,Edmonton,""",""2025-09-24T10:17:39-06:00"",""Jan 06 2026 08:42 AM"",""infill_developer, developer_builders"" ""Wx8JhyRxMFH1RXxNFpNF"",""Christenson"",""Developments"",""+17804362980"",""info@cdlhomes.com"",""2025-09-24T10:17:39-",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Cantera Realty,info@morningstarhomes.ca,(780) 421-7272; (780) 545-8888; (780) 729-5786; (780) 974-5546,morningstarhomes,Builder,Single-family,,Edmonton,"Hopewell"",""Residential"",,""info@hopewell.com"",""2025-09-24T10:17:49-06:00"",,""infill_developer, developer_builders"" ""44cz5fDt87lM3GryVjON"",""Morningstar"",""Homes"",,""info@morningstarhomes.ca"",""2025-09-24T10",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Canterra Developments,peter@greentownhomes.ca,(780) 413-7150; (780) 707-0696; (780) 733-7399,greentownhomes,Builder; Developer,,,Edmonton,"T10:35:49-06:00"",""Jan 06 2026 08:42 AM"",""infill_developer, developer_builders, land_developers"" ""fmyyCaz0IoQX1Dp2AVVE"",""Greentown"",""Homes ltd."",""+17807070696"",""peter@greentownhomes.ca"",""2025-09-24T10:",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Carrington Communities,severitt@carrington.ca,(780) 231-1465; (780) 439-5000; (780) 478-6069; (780) 486-4941; (780) 540-4041; (780) 634-8361; (780) 920-5881,carrington,Builder,Land,,Edmonton,""",,""info@trumanhomes.com"",""2025-09-24T10:30:20-06:00"",,""infill_developer, developer_builders"" ""30q6mREZXkLIr93q91C8"",""Carrington"",""Group of co"",""+17804395000"",""severitt@carrington.ca"",""2025-09-24T10:3",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx | [Drive] Contacts_Builders_1724863459.xlsx
email_contact,Carrington Group,info@carrington.ca,(780) 328-0928; (780) 452-5626; (780) 481-2626; (780) 953-4817,carrington,Builder,,,Edmonton,"group"",""+17804504921"",,""2025-09-24T10:42:59-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""ZffwFPhu1vXmXd46Kdkf"",""Carrington"",""Group"",,""info@carrington.ca"",""2025-09-24T10:42:59-",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Catalina Homes,info@maclabdevelopment.com,(604) 755-2285; (780) 448-1199; (780) 508-4100; (780) 993-1134; (780) 993-2167,maclabdevelopment,Builder; Developer,,,Edmonton; Vancouver,"rs"" ""uVplHh5qPKd460ChVII7"",""2025-06-25t00:00:00.000z"",,,,""2025-09-24T10:41:24-06:00"",,""infill_developer"" ""rw3Zgnjd4nei3dSE5L9O"",""Maclab"",""Development group:"",,""info@maclabdevelopment.com"",""2025-09-24T","Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] BC, Co-Star, Buyers, All, After 2014.xlsx | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx"
email_contact,Centurion Asset,realestate@centurion.ca,(780) 444-3042; (780) 454-5434; (780) 850-2065,centurion,Builder; Developer,,,Edmonton,"025-09-24T10:17:15-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders, infill_vip_yeg"" ""flo8yWMjf6kdv1Iu2juf"",""Centurion"",""Asset management"",,""realestate@centurion.ca"",""2025-09-24T10:",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Chanpreet  Dhami,chanpreet.s.dhami@gmail.com,,,Builder,,,Edmonton,"Address: #203 10907 77 Ave NW, Edmonton AB T6G0L2 ii. For the Builder: Name: Email: Address: Chanpreet Dhami Chanpreet.s.dhami@gmail.com 3664 Hummingbird Way NW, Edmonton AB T5S 0L1 c. Either party ma",15981 110B Ave Contract.docx.pdf | Allendale_Build_Contract_docx_(2) (1).pdf | Allendale_Build_Contract_docx_(2).pdf
email_contact,Chelsey Jersak,info@shignanski.com,(647) 247-7146; (780) 479-6032; (780) 570-5444,shignanski,Builder; Developer,,,Edmonton; Toronto,",""brad@jwdevelopment.ca"",""2025-09-24T10:17:51-06:00"",,""infill_developer, developer_builders"" ""WaEl3MH4OpPiit069ESb"",""Shignanski"",""Construction"",""+17805705444"",""info@shignanski.com"",""2025-09-24T10:17:5",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Christenson Developments,info@aqrconstruction.com,(780) 436-2980; (780) 907-7860,aqrconstruction,Builder; Developer,,,Edmonton,"4:01-06:00"",""Nov 23 2025 05:00 PM"",""infill_developer, developer_builders, land_seller_alberta"" ""FLJTEv6hqRjB2lCU0RxC"",""Aqr"",""Construction inc."",""+17809077860"",""info@aqrconstruction.com"",""2025-09-24T10",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Christenson Developments,info@deveraux.ca,(780) 443-2932; (780) 638-9299; (780) 756-4578,deveraux,Builder; Lender,,,Edmonton,"edevelopments.com"",""2025-09-24T10:43:25-06:00"",""Jan 05 2026 11:42 AM"",""infill_developer, developer_builders"" ""lNhdJM1EYRQz8EVnGYb8"",""Deveraux"",""Developments"",,""info@deveraux.ca"",""2025-09-24T10:43:24-0",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Christenson Developments,contact@cdlhomes.com,(780) 443-2932; (780) 638-9299; (780) 966-0287,cdlhomes,Builder; Developer,,,Edmonton,"09-24T10:42:52-06:00"",""Jan 05 2026 11:42 AM"",""infill_developer, developer_builders, land_seller_alberta"" ""GMxBQsNKpM1eQkcEjMtc"",""Christenson"",""Developments:"",,""contact@cdlhomes.com"",""2025-09-24T10:42:",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Commericial Developer,adam@skywardhomes.ca,(780) 240-0397; (780) 907-0659,skywardhomes,Builder; Developer,Infill,,Edmonton,"uxury Homes Ltd,,780-240-0397,voicemail,, Item,,Infill@thchomes.ca,,Infill/Residential/Commericial Developer,,,,,,,THC Homes,,,,,https://www.thchomes.ca/ Item,,adam@skywardhomes.ca,,Home Builder,,,,,,",[Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Concert Properties,admin@avhomesmb.com,(780) 238-0282; (780) 429-3816,avhomesmb,Builder; Developer,,Rental,Edmonton,"2025-09-24T10:39:40-06:00"",""Dec 08 2025 03:34 PM"",""infill_developer, developer_builders"" ""ZzMFYIrx4OQILSvpDBEd"",""Av"",""Homes master builder ltd"",""+17804293816"",""admin@avhomesmb.com"",""2025-09-24T10:39:3",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Construction Inc,info@maclabgroup.ca,(780) 860-9788; (780) 907-7860,maclabgroup,Builder; Developer,Commercial,,Edmonton,"""+17807050047"",,""2025-09-24T10:17:22-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""6dFLlYp7VcLYgwNgwZx4"",""Maclab"",""Development group"",,""info@maclabgroup.ca"",""2025-09-24T10:17:2",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Construction Ltd,info@footprintdevelopments.ca,(780) 705-7108,footprintdevelopments,Builder,Commercial; Single-family,,Edmonton,""",""2025-09-24T10:36:26-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders, infill_vip_yeg"" ""tRtAigPUbwFdVd1YjVcI"",""Footprint"",""Developments"",,""info@footprintdevelopments.ca"",""2025-09-",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Cornerstone Estates,info@victorydevelopments.ca,(780) 488-0888; (780) 975-1515,victorydevelopments,Builder; Developer,Multifamily,,Edmonton,"ie"",""Development group"",,""info@beedie.ca"",""2025-09-24T10:43:32-06:00"",,""infill_developer, developer_builders"" ""VHtl31SMacshBu6zx3hF"",""Victory"",""Developments"",,""info@victorydevelopments.ca"",""2025-09-24",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Crescent Developments,info@yashhomes.ca,(780) 236-5558; (780) 263-1003; (780) 710-5836,yashhomes,Builder,,,Edmonton,"""+17804146884"",,""2025-09-24T10:27:41-06:00"",""Oct 08 2025 09:31 AM"",""infill_developer, developer_builders"" ""cyMGrupAq5DhHrsfEUJ1"",""Yash"",""Homes"",""+17802631003"",""info@yashhomes.ca"",""2025-09-24T10:27:39-",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Crimson Cove,drew.fisher8@gmail.com,(780) 454-1844; (780) 699-6866,,Builder,,,Edmonton,":08-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders, land_seller_alberta, yeg_contractors"" ""dMFPxLZWkBrzflLdyWMj"",""Empact"",""Ventures ltd"",,""drew.fisher8@gmail.com"",""2025-09-24T10:3",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,,info@crimsoncovehomes.com,(780) 252-2000; (780) 454-1844,crimsoncovehomes,Builder,Commercial,,Edmonton,"ok.com"",""2025-09-24T10:40:00-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""unilOYKjnaF2NRpbnnMv"",""Crimson"",""Cove homes"",""+17804541844"",""info@crimsoncovehomes.com"",""2025-09-24T1",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Custom Homes,office@rosecrofthomes.ca,(780) 271-1401; (780) 424-7474; (780) 459-5223,rosecrofthomes,Builder,Commercial,,Edmonton,"1"",,""2025-09-24T10:41:07-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""mRVSLZRjCOLB4O1KPLoi"",""Rosecroft"",""Custom homes"",""+17804595223"",""office@rosecrofthomes.ca"",""2025-09-24T10",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Deck Daddy,admin@ridgelineimprovements.ca,(780) 440-0670; (780) 906-8993,ridgelineimprovements,Builder,,,Edmonton,"""2025-09-24T10:43:35-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders"" ""FMPs9aXUno6goinTpt9j"",""Ridgeline"",""Improvements ltd"",""+17804400670"",""admin@ridgelineimprovements.ca"",""2025-09",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,,info@deltasquare.ca,(780) 443-1047; (780) 453-5631; (780) 459-5263; (780) 756-7173,deltasquare,Builder; Developer,Land,,Edmonton; Vancouver,"25-09-24T10:43:38-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""rnmN74d9o0SpZR2JBWXG"",""Delta"",""Square developments ltd"",""+17804431047"",""info@deltasquare.ca"",""2025-09-24T10:43:3",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Design Ltd,info@klaircustomhomes.ca,(780) 439-5000; (780) 982-4627,klaircustomhomes,Builder,,,Edmonton,"-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders, land_seller_alberta, infill_vip_yeg"" ""O002oroNNLxGp5VJbUMq"",""Klair"",""Custom homes ltd."",,""info@klaircustomhomes.ca"",""2025-09-24T10",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
